player_id,player_name,game_id,season,week,team,opponent,rushing_yards,rush_tds,rush_attempts,game_date,ypc,rushing_yards_L3,rushing_yards_L5,rushing_yards_L10,rushing_yards_std_L5,rush_tds_L3,rush_tds_L5,rush_tds_L10,rush_tds_std_L5,rush_attempts_L3,rush_attempts_L5,rush_attempts_L10,rush_attempts_std_L5
00-0019596,T.Brady,2020_01_TB_NO,2020,1,TB,NO,9.0,1.0,3.0,2020-09-13,3.0,,,,0.0,,,,0.0,,,,0.0
00-0019596,T.Brady,2020_02_CAR_TB,2020,2,TB,CAR,0.0,0.0,1.0,2020-09-20,0.0,9.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0
00-0019596,T.Brady,2020_03_TB_DEN,2020,3,TB,DEN,0.0,0.0,5.0,2020-09-27,0.0,4.5,6.000000000000001,7.363636363636363,6.363961030678928,0.5,0.6666666666666667,0.8181818181818181,0.7071067811865476,2.0,2.3333333333333335,2.636363636363636,1.4142135623730951
00-0019596,T.Brady,2020_04_LAC_TB,2020,4,TB,LAC,-3.0,0.0,3.0,2020-10-04,-1.0,2.25,4.000000000000001,6.024793388429751,5.581563056514381,0.25,0.44444444444444453,0.6694214876033057,0.6201736729460423,3.5,3.2222222222222223,3.066115702479338,1.8397324220155997
00-0019596,T.Brady,2020_05_TB_CHI,2020,5,TB,CHI,0.0,0.0,3.0,2020-10-08,0.0,-0.375,1.6666666666666674,4.383921863260705,5.761226373204605,0.125,0.2962962962962964,0.5477084898572501,0.5345224838248489,3.25,3.1481481481481484,3.0540946656649126,1.4142135623730951
00-0019596,T.Brady,2020_07_TB_LV,2020,7,TB,LV,1.0,1.0,1.0,2020-10-25,1.0,-0.1875,1.1111111111111118,3.586845160849667,4.6698706949649385,0.0625,0.19753086419753094,0.44812512806502275,0.4540766091864999,3.125,3.098765432098766,3.0442592719076553,1.1278325869433339
00-0019596,T.Brady,2020_08_TB_NYG,2020,8,TB,NYG,-1.0,0.0,1.0,2020-11-02,-1.0,0.40625,1.0740740740740746,3.116509677058818,3.7711060505458613,0.53125,0.4650205761316873,0.5484660138713822,0.5625463741714938,2.0625,2.399176954732511,2.672575767924445,1.440295340482499
00-0019596,T.Brady,2020_10_TB_CAR,2020,10,TB,CAR,2.0,1.0,2.0,2020-11-15,1.0,-0.296875,0.38271604938271647,2.368053372139033,3.254688754807333,0.265625,0.3100137174211249,0.44874492044022174,0.5190937528490737,1.53125,1.9327846364883408,2.368471082847273,1.384762866123261
00-0019596,T.Brady,2020_12_KC_TB,2020,12,TB,KC,-1.0,0.0,1.0,2020-11-29,-1.0,0.8515625,0.9218106995884776,2.3011345772046634,2.785805414848306,0.6328125,0.5400091449474166,0.5489731167238178,0.5581812895564721,1.765625,1.9551897576588941,2.301476340511405,1.1287805061937342
00-0019596,T.Brady,2020_14_MIN_TB,2020,14,TB,MIN,-2.0,0.0,3.0,2020-12-13,-0.7,-0.07421875,0.2812071330589852,1.700928290440179,2.488261135201435,0.31640625,0.3600060966316111,0.44915982277403266,0.5370672843919191,1.3828125,1.636793171772596,2.06484427860024,1.0495897851227296
